state,county,fips,lat,longitude
MO,Adair County,29001,40.19300079,92.60199738
MO,Andrew County,29003,39.97499847,94.82499695
MO,Atchison County,29005,40.42200089,95.47200012
MO,Audrain County,29007,39.20199966,91.86199951
MO,Barry County,29009,36.71500015,93.82800293
MO,Barton County,29011,37.5,94.34300232
MO,Bates County,29013,38.25600052,94.33200073
MO,Benton County,29015,38.29700089,93.29499817
MO,Bollinger County,29017,37.32300186,90.04000092
MO,Boone County,29019,38.94400024,92.33200073
MO,Buchanan County,29021,39.67699814,94.85299683
MO,Butler County,29023,36.70899963,90.41300201
MO,Caldwell County,29025,39.65399933,93.98200226
MO,Callaway County,29027,38.82899857,91.92500305
MO,Camden County,29029,38.03300095,92.73899841
MO,Cape Girardeau County,29031,37.36299896,89.65100098
MO,Carroll County,29033,39.40800095,93.43199921
MO,Carter County,29035,36.95600128,90.94000244
MO,Cass County,29037,38.64599991,94.33799744
MO,Cedar County,29039,37.73500061,93.84500122
MO,Chariton County,29041,39.46500015,92.98500061
MO,Christian County,29043,36.95600128,93.25499725
MO,Clark County,29045,40.4280014,91.68499756
MO,Clay County,29047,39.2820015,94.40599823
MO,Clinton County,29049,39.60300064,94.40100098
MO,Cole County,29051,38.53699875,92.21800232
MO,Cooper County,29053,38.86899948,92.77899933
MO,Crawford County,29055,37.95299911,91.31800079
MO,Dade County,29057,37.43099976,93.85099792
MO,Dallas County,29059,37.6609993,93.01999664
MO,Daviess County,29061,39.9640007,93.98799896
MO,DeKalb County,29063,39.89500046,94.40599823
MO,Dent County,29065,37.60300064,91.47899628
MO,Douglas County,29067,36.93299866,92.4980011
MO,Dunklin County,29069,36.31399918,90.16600037
MO,Franklin County,29071,38.45100021,91.0490036
MO,Gasconade County,29073,38.4280014,91.50700378
MO,Gentry County,29075,40.20999908,94.41200256
MO,Greene County,29077,37.25899887,93.34600067
MO,Grundy County,29079,40.11299896,93.56400299
MO,Harrison County,29081,40.35300064,94
MO,Henry County,29083,38.38800049,93.79299927
MO,Hickory County,29085,37.93600082,93.31800079
MO,Holt County,29087,40.07799911,95.27100372
MO,Howard County,29089,39.14500046,92.68199921
MO,Howell County,29091,36.77799988,91.88500214
MO,Iron County,29093,37.50600052,90.84300232
MO,Jackson County,29095,39.01800156,94.35500336
MO,Jasper County,29097,37.20800018,94.33200073
MO,Jefferson County,29099,38.26200104,90.51599884
MO,Johnson County,29101,38.74300003,93.80999756
MO,Knox County,29103,40.12400055,92.14900208
MO,Laclede County,29105,37.68299866,92.55000305
MO,Lafayette County,29107,39.10400009,93.79299927
MO,Lawrence County,29109,37.10499954,93.83300018
MO,Lewis County,29111,40.10100174,91.69599915
MO,Lincoln County,29113,39.04700089,90.96299744
MO,Linn County,29115,39.86600113,93.10600281
MO,Livingston County,29117,39.79199982,93.51300049
MO,McDonald County,29119,36.63499832,94.34300232
MO,Macon County,29121,39.82099915,92.57299805
MO,Madison County,29123,37.47700119,90.34400177
MO,Maries County,29125,38.15299988,91.91400146
MO,Marion County,29127,39.8030014,91.5759964
MO,Mercer County,29129,40.42200089,93.56999969
MO,Miller County,29131,38.22800064,92.44100189
MO,Mississippi County,29133,36.81800079,89.31300354
MO,Moniteau County,29135,38.67499924,92.6190033
MO,Monroe County,29137,39.5,92.01100159
MO,Montgomery County,29139,38.92100143,91.45600128
MO,Morgan County,29141,38.45100021,92.85399628
MO,New Madrid County,29143,36.60100174,89.64499664
MO,Newton County,29145,36.90399933,94.33799744
MO,Nodaway County,29147,40.35300064,94.89900208
MO,Oregon County,29149,36.69200134,91.39299774
MO,Osage County,29151,38.49700165,91.91999817
MO,Ozark County,29153,36.65200043,92.44100189
MO,Pemiscot County,29155,36.19400024,89.7539978
MO,Perry County,29157,37.7179985,89.83399963
MO,Pettis County,29159,38.72600174,93.28299713
MO,Phelps County,29161,37.87799835,91.77600098
MO,Pike County,29163,39.36800003,91.07700348
MO,Platte County,29165,39.34500122,94.85299683
MO,Polk County,29167,37.61999893,93.40399933
MO,Pulaski County,29169,37.81000137,92.21800232
MO,Putnam County,29171,40.4679985,93.02600098
MO,Ralls County,29173,39.5,91.44999695
MO,Randolph County,29175,39.42499924,92.5039978
MO,Ray County,29177,39.33399963,93.98200226
MO,Reynolds County,29179,37.31700134,90.97399902
MO,Ripley County,29181,36.65800095,90.84799957
MO,St. Charles County,29183,38.75500107,90.53900146
MO,St. Clair County,29185,38.02199936,93.78199768
MO,Ste. Genevieve County,29186,37.90100098,90.1780014
MO,St. Francois County,29187,37.86100006,90.37799835
MO,St. Louis County,29189,38.59400177,90.4240036
MO,Saline County,29195,39.15599823,93.1740036
MO,Schuyler County,29197,40.4679985,92.53299713
MO,Scotland County,29199,40.45100021,92.14900208
MO,Scott County,29201,37.0530014,89.53600311
MO,Shannon County,29203,37.15100098,91.33499908
MO,Shelby County,29205,39.77999878,92.06900024
MO,Stoddard County,29207,36.87599945,89.97699738
MO,Stone County,29209,36.75,93.45500183
MO,Sullivan County,29211,40.20999908,93.11100006
MO,Taney County,29213,36.65800095,93.03700256
MO,Texas County,29215,37.32799911,91.94799805
MO,Vernon County,29217,37.84999847,94.33799744
MO,Warren County,29219,38.77199936,91.18599701
MO,Washington County,29221,37.97000122,90.8710022
MO,Wayne County,29223,37.12200165,90.4469986
MO,Webster County,29225,37.27700043,92.8769989
MO,Worth County,29227,40.47900009,94.4240036
MO,Wright County,29229,37.27099991,92.47000122
MO,St. Louis city,29510,38.65200043,90.21800232
MT,Beaverhead County,30001,45.14899826,112.7070007
MT,Big Horn County,30003,45.51599884,107.4530029
MT,Blaine County,30005,48.36899948,108.8850021
MT,Broadwater County,30007,46.29499817,111.4229965
MT,Carbon County,30009,45.31499863,109.0220032
MT,Carter County,30011,45.56700134,104.5360031
MT,Cascade County,30013,47.26300049,111.3430023
MT,Chouteau County,30015,47.81900024,110.4720001
MT,Custer County,30017,46.32400131,105.4589996
MT,Daniels County,30019,48.7820015,105.5619965
MT,Dawson County,30021,47.32600021,104.9029999
MT,Deer Lodge County,30023,46.06600189,113.0390015
MT,Fallon County,30025,46.2840004,104.4729996
MT,Fergus County,30027,47.21699905,109.2630005
MT,Flathead County,30029,48.29999924,113.9960022
MT,Gallatin County,30031,45.33800125,111.2910004
MT,Garfield County,30033,47.40100098,107.0110016
MT,Glacier County,30035,48.65599823,113.125
MT,Golden Valley County,30037,46.39799881,109.2170029
MT,Granite County,30039,46.38700104,113.4459991
MT,Hill County,30041,48.56999969,110.1169968
MT,Jefferson County,30043,46.15800095,112.1159973
